YrSold,MoSold,index_online,index_lowest,index_scaled,index_scaled2
2006,1,180.83,140.63,0.777691754686722,0.977769175468672
2006,2,181.52,140.63,0.774735566328779,0.977473556632878
2006,3,182.75,140.63,0.769521203830369,0.976952120383037
2006,4,183.65,140.63,0.765750068064253,0.976575006806425
2006,5,184.4,140.63,0.76263557483731,0.976263557483731
2006,6,184.55,140.63,0.762015713898672,0.976201571389867
2006,7,184.62,140.63,0.761726790163579,0.976172679016358
2006,8,184.41,140.63,0.762594219402419,0.976259421940242
2006,9,184.21,140.63,0.763422181206232,0.976342218120623
2006,10,184.06,140.63,0.764044333369553,0.976404433336955
2006,11,183.64,140.63,0.765791766499673,0.976579176649967
2006,12,183.24,140.63,0.767463435931019,0.976746343593102
2007,1,182.73,140.63,0.769605428774695,0.976960542877469
2007,2,182.48,140.63,0.770659798334064,0.977065979833406
2007,3,182.2,140.63,0.771844127332602,0.97718441273326
2007,4,182.14,140.63,0.772098385857033,0.977209838585703
2007,5,181.89,140.63,0.773159601957227,0.977315960195723
2007,6,181.55,140.63,0.774607546130542,0.977460754613054
2007,7,181,140.63,0.776961325966851,0.977696132596685
2007,8,180.25,140.63,0.780194174757281,0.978019417475728
2007,9,179.13,140.63,0.785072293864791,0.978507229386479
2007,10,177.5,140.63,0.792281690140845,0.979228169014085
2007,11,175.18,140.63,0.802774289302432,0.980277428930243
2007,12,173.35,140.63,0.811248918373233,0.981124891837323
2008,1,171.09,140.63,0.821965047635747,0.982196504763575
2008,2,169.2,140.63,0.831146572104019,0.983114657210402
2008,3,167.92,140.63,0.83748213434969,0.983748213434969
2008,4,167.33,140.63,0.840435068427658,0.984043506842766
2008,5,167.03,140.63,0.841944560857331,0.984194456085733
2008,6,166.55,140.63,0.844371059741819,0.984437105974182
2008,7,165.73,140.63,0.848548844506124,0.984854884450612
2008,8,164.3,140.63,0.855934266585514,0.985593426658551
2008,9,161.93,140.63,0.86846168097326,0.986846168097326
2008,10,159.18,140.63,0.883465259454705,0.988346525945471
2008,11,156.08,140.63,0.901012301383905,0.990101230138391
2008,12,152.56,140.63,0.921801258521237,0.992180125852124
2009,1,149.37,140.63,0.941487581174265,0.994148758117427
2009,2,147.63,140.63,0.952584163110479,0.995258416311048
2009,3,146.53,140.63,0.959735207807275,0.995973520780728
2009,4,146.96,140.63,0.956927054980947,0.995692705498095
2009,5,148.19,140.63,0.948984411903637,0.994898441190364
2009,6,149.81,140.63,0.938722381683466,0.993872238168347
2009,7,150.76,140.63,0.932807110639427,0.993280711063943
2009,8,150.68,140.63,0.933302362622777,0.993330236262278
2009,9,149.64,140.63,0.939788826516974,0.993978882651697
2009,10,148.6,140.63,0.946366083445491,0.994636608344549
2009,11,147.95,140.63,0.950523825616762,0.995052382561676
2009,12,146.68,140.63,0.958753749659122,0.995875374965912
2010,1,145,140.63,0.969862068965517,0.996986206896552
2010,2,143.06,140.63,0.983014119949671,0.998301411994967
2010,3,143.6,140.63,0.979317548746518,0.997931754874652
2010,4,145.39,140.63,0.967260471834377,0.996726047183438
2010,5,147.02,140.63,0.95653652564277,0.995653652564277
2010,6,147.69,140.63,0.952197169747444,0.995219716974744
2010,7,147.54,140.63,0.953165243323844,0.995316524332385
2010,8,146.4,140.63,0.960587431693989,0.996058743169399
2010,9,144.59,140.63,0.972612213846047,0.997261221384605
2010,10,143.12,140.63,0.982602012297373,0.998260201229737
2010,11,141.82,140.63,0.991609081934847,0.999160908193485
2010,12,140.63,140.63,1,1
